OBJECTID,shortest_dist
100274,2013.25
100275,1721.1
100276,1842.18
100277,2179.34
100278,1872.72
100279,1616.51
100280,2109.24
100281,1835.12
100282,2135.37
100283,2066.57
100284,2116.94
100285,1872.03
100286,2018.51
100287,1718.13
100288,1694.64
100289,1702.65
100290,2106.59
100291,1290.42
100292,2218.54
100293,1726.11
100294,2248.92
100295,1382.79
100296,2105.5
100297,1835.09
100298,1882.02
100299,1877.87
100300,2076.12
100301,1463.47
100302,1996.11
100303,1388.53
100304,2131.84
100305,1869.6
100306,2233.97
100307,1939.49
100308,2076.5
100309,1222.75
100310,1561.5
100311,2123.55
100312,2120.43
100313,2072.88
100314,2064.11
100315,1682.45
100316,1792.58
100317,2254.92
100318,2068.51
100319,1844.92
100320,2011.09
100321,286.65
100322,1397.38
100323,1058.56
100324,1366.86
100325,1847.21
100326,2065.0
100327,1135.92
100328,1760.72
100329,296.97
100330,88.36
100331,1455.26
100332,635.11
100333,2053.23
100334,1078.0
100335,1665.97
100336,1657.02
100337,1407.75
100338,1975.35
100339,1096.97
100340,1770.56
100341,1862.19
100342,1757.0
100343,1837.12
100344,1839.47
100345,2190.07
100346,478.16
100347,1848.54
100348,1588.43
100349,1683.12
100350,1268.1
100351,1655.42
100352,2217.64
100353,1867.27
100354,975.19
100355,685.53
100356,1593.72
100357,498.83
100358,1340.79
100359,1588.81
100360,1400.85
100361,2188.37
100362,1359.58
100363,400.92
100364,1324.37
100365,2186.03
100366,461.88
100367,1584.1
100368,2153.79
100369,987.82
100370,1702.45
100371,1124.04
100372,1587.87
100373,393.28
100374,1592.09
100375,499.57
100376,1828.46
100377,1330.64
100378,414.04
100379,1364.67
100380,1794.66
100381,1968.13
100382,1979.8
100383,1413.84
100384,505.2
100385,1844.49
100386,1030.63
100387,1591.62
100388,258.09
100389,1802.4
100390,1704.45
100391,259.17
100392,1332.16
100393,1601.93
100394,1579.12
100395,1095.39
100396,1384.58
100397,2194.59
100398,1245.89
100399,1853.96
100400,245.29
100401,1771.35
100402,1065.73
100403,1772.63
100404,614.04
100405,2061.64
100406,1278.2
100407,1857.24
100408,1842.05
100409,1299.64
100410,1328.21
100411,2101.5
100412,801.98
100413,1678.95
100414,1316.57
100415,1972.38
100416,1375.35
100417,360.47
100418,1968.78
100419,803.81
100420,1126.51
100421,833.46
100422,2236.51
100423,1851.51
100424,1057.84
100425,1135.21
100426,1265.03
100427,1797.56
100428,1804.54
100429,1792.07
100430,814.32
100431,1298.6
100432,1743.76
100433,1708.03
100434,1599.92
100435,804.48
100436,2117.61
100437,1118.63
100438,1132.34
100439,1967.32
100440,1795.77
100441,1723.61
100442,685.83
100443,506.2
100444,245.47
100445,1714.93
100446,173.98
100447,1705.28
100448,382.91
100449,1420.03
100450,976.19
100451,3272.49
100452,1327.81
100453,1881.96
100454,1312.9
100455,184.64
100456,1643.57
100457,643.62
100458,1965.45
100459,1714.32
100460,1842.66
100461,2159.86
100462,1784.2
100463,1694.36
100464,1669.52
100465,1965.08
100466,2067.1
100467,1300.42
100468,1841.18
100469,1127.83
100470,421.61
100471,1840.08
100472,1594.52
100473,1974.0
100474,1709.83
100475,825.18
100476,2107.35
100477,1424.81
100478,1057.55
100479,1667.69
100480,1301.2
100481,1063.45
100482,146.86
100483,1727.23
100484,1183.15
100485,970.93
100486,1624.94
100487,974.57
100488,981.89
100489,2025.2
100490,1748.38
100491,783.78
100492,2120.76
100493,1246.81
100494,1591.16
100495,1617.27
100496,1872.84
100497,1627.86
100498,213.38
100499,1354.47
100500,1120.04
100501,1854.46
100502,1844.72
100503,2216.18
100504,1095.85
100505,1114.03
100506,2121.77
100507,1634.94
100508,1711.93
100509,988.67
100510,1642.12
100511,1128.01
100512,1621.4
100513,425.53
100514,1727.08
100515,1098.55
100516,733.48
100517,540.12
100518,383.3
100519,1792.21
100520,1110.65
100521,496.48
100522,270.48
100523,418.55
100524,811.92
100525,1290.95
100526,1622.79
100527,1835.7
100528,1778.87
100529,1722.58
100530,976.36
100531,1199.41
100532,1387.59
100533,865.01
100534,1081.99
100535,1243.17
100536,836.62
100537,558.69
100538,1621.21
100539,1244.24
100540,280.3
100541,1627.05
100542,1055.36
100543,2366.02
100544,1337.45
100545,1722.06
100546,2070.44
100547,2109.58
100548,1664.0
100549,1791.69
100550,1696.46
100551,263.32
100552,1105.45
100553,341.17
100554,1838.3
100555,2190.67
100556,1750.47
100557,1631.85
100558,1406.94
100559,1624.18
100560,1647.02
100561,2122.29
100562,1846.91
100563,1713.29
100564,1134.11
100565,1245.82
100566,1662.19
100567,2211.3
100568,1845.48
100569,1979.48
100570,1720.03
100571,403.95
100572,2049.7
100573,1875.98
100574,2217.41
100575,1587.58
100576,2177.4
100577,1256.29
100578,1674.69
100579,1423.86
100580,1736.84
100581,1788.89
100582,1674.69
100583,2186.86
100584,1256.41
100585,1707.64
100586,1967.51
100587,1639.16
100588,1623.32
100589,2223.03
100590,1867.81
100591,1284.44
100592,2212.94
100593,1870.58
100594,1737.47
100595,2106.52
100596,1624.12
100597,1226.81
100598,1791.09
100599,1738.8
100600,2063.66
100601,1636.16
100602,1878.89
100603,1694.02
100604,2088.68
100605,1269.05
100606,1968.1
100607,1771.77
100608,1840.48
100609,1633.32
100610,1628.48
100611,1328.84
100612,1724.98
100613,1551.96
100614,1625.43
100615,2069.37
100616,1637.07
100617,1694.66
100618,1409.04
100619,1645.08
100620,2152.35
100621,3279.08
100622,1605.0
100623,1704.39
100624,2117.74
100625,1637.71
100626,1638.81
100627,1727.16
100628,1388.74
100629,1726.75
100630,1294.54
100631,1294.53
100632,2010.19
100633,1871.15
100634,1739.94
100635,1727.55
100636,1463.02
100637,1682.69
100638,1554.94
100639,2255.8
