site_number,parameter_code,sample_duration,date_local,aqi
0011,81102,24-HR BLK AVG,2004-10-05,0
0011,81102,24-HR BLK AVG,2004-10-06,0
0011,81102,24-HR BLK AVG,2004-10-07,0
0011,81102,24-HR BLK AVG,2004-10-08,1
0011,81102,24-HR BLK AVG,2004-10-09,3
0011,81102,24-HR BLK AVG,2004-10-10,1
0011,81102,24-HR BLK AVG,2004-10-11,0
0011,81102,24-HR BLK AVG,2004-10-12,0
0011,81102,24-HR BLK AVG,2004-10-13,0
0011,81102,24-HR BLK AVG,2004-10-14,0
0011,81102,24-HR BLK AVG,2004-10-15,0
0011,81102,24-HR BLK AVG,2004-10-16,3
0011,81102,24-HR BLK AVG,2004-10-17,2
0011,81102,24-HR BLK AVG,2004-10-18,0
0011,81102,24-HR BLK AVG,2004-10-19,1
0011,81102,24-HR BLK AVG,2004-10-20,0
0011,81102,24-HR BLK AVG,2004-10-21,0
0011,81102,24-HR BLK AVG,2004-10-22,0
0011,81102,24-HR BLK AVG,2004-10-23,0
0011,81102,24-HR BLK AVG,2004-10-24,1
0011,81102,24-HR BLK AVG,2004-10-25,1
0011,81102,24-HR BLK AVG,2004-10-26,1
0011,81102,24-HR BLK AVG,2004-10-27,0
0011,81102,24-HR BLK AVG,2004-10-28,0
0011,81102,24-HR BLK AVG,2004-10-29,0
0011,81102,24-HR BLK AVG,2004-10-30,0
0011,81102,24-HR BLK AVG,2004-10-31,0
0012,81102,24-HR BLK AVG,2004-05-01,23
0012,81102,24-HR BLK AVG,2004-05-05,37
0012,81102,24-HR BLK AVG,2004-05-06,23
0012,81102,24-HR BLK AVG,2004-05-07,27
0012,81102,24-HR BLK AVG,2004-05-08,21
0012,81102,24-HR BLK AVG,2004-05-09,21
0012,81102,24-HR BLK AVG,2004-05-10,137
0012,81102,24-HR BLK AVG,2004-05-11,74
0012,81102,24-HR BLK AVG,2004-05-12,19
0012,81102,24-HR BLK AVG,2004-05-13,23
0012,81102,24-HR BLK AVG,2004-05-14,34
0012,81102,24-HR BLK AVG,2004-05-15,23
0012,81102,24-HR BLK AVG,2004-05-16,22
0012,81102,24-HR BLK AVG,2004-05-17,38
0012,81102,24-HR BLK AVG,2004-05-18,55
0012,81102,24-HR BLK AVG,2004-05-19,21
0012,81102,24-HR BLK AVG,2004-05-20,22
0012,81102,24-HR BLK AVG,2004-05-21,24
0012,81102,24-HR BLK AVG,2004-05-22,56
0012,81102,24-HR BLK AVG,2004-05-23,30
0012,81102,24-HR BLK AVG,2004-05-24,22
0012,81102,24-HR BLK AVG,2004-05-25,27
0012,81102,24-HR BLK AVG,2004-05-26,24
0012,81102,24-HR BLK AVG,2004-05-27,25
0012,81102,24-HR BLK AVG,2004-05-28,53
0012,81102,24-HR BLK AVG,2004-05-29,33
0012,81102,24-HR BLK AVG,2004-05-30,15
0012,81102,24-HR BLK AVG,2004-05-31,19
0012,81102,24-HR BLK AVG,2004-06-01,24
0012,81102,24-HR BLK AVG,2004-06-02,33
0012,81102,24-HR BLK AVG,2004-06-03,31
0012,81102,24-HR BLK AVG,2004-06-04,33
0012,81102,24-HR BLK AVG,2004-06-05,30
0012,81102,24-HR BLK AVG,2004-06-06,30
0012,81102,24-HR BLK AVG,2004-06-07,55
0012,81102,24-HR BLK AVG,2004-06-08,73
0012,81102,24-HR BLK AVG,2004-06-09,31
0012,81102,24-HR BLK AVG,2004-06-10,32
